IDs,esm2_t33_650M_UR50D,esm2_t36_3B_UR50D,esm2_t48_15B_UR50D
esm2_t36_3B_UR50D_idx441,0,1,0
esm2_t36_3B_UR50D_idx442,0,1,0
esm2_t36_3B_UR50D_idx443,0,1,0
esm2_t36_3B_UR50D_idx444,0,1,0
esm2_t36_3B_UR50D_idx445,0,1,0
esm2_t36_3B_UR50D_idx446,0,1,0
esm2_t36_3B_UR50D_idx447,0,1,0
esm2_t36_3B_UR50D_idx448,0,1,0
esm2_t36_3B_UR50D_idx449,0,1,0
esm2_t36_3B_UR50D_idx450,0,1,0
esm2_t36_3B_UR50D_idx451,0,1,0
esm2_t36_3B_UR50D_idx452,0,1,0
esm2_t36_3B_UR50D_idx453,0,1,0
esm2_t36_3B_UR50D_idx454,0,1,0
esm2_t36_3B_UR50D_idx455,0,1,0
esm2_t36_3B_UR50D_idx456,0,1,0
esm2_t36_3B_UR50D_idx457,0,1,0
esm2_t36_3B_UR50D_idx458,0,1,0
esm2_t36_3B_UR50D_idx459,0,1,0
esm2_t36_3B_UR50D_idx460,0,1,0
esm2_t36_3B_UR50D_idx461,0,1,0
esm2_t36_3B_UR50D_idx462,0,1,0
esm2_t36_3B_UR50D_idx463,0,1,0
esm2_t36_3B_UR50D_idx464,0,1,0
esm2_t36_3B_UR50D_idx465,0,1,0
esm2_t36_3B_UR50D_idx466,0,1,0
esm2_t36_3B_UR50D_idx467,0,1,0
esm2_t36_3B_UR50D_idx468,0,1,0
esm2_t36_3B_UR50D_idx469,0,1,0
esm2_t36_3B_UR50D_idx470,0,1,0
esm2_t36_3B_UR50D_idx471,0,1,0
esm2_t36_3B_UR50D_idx472,0,1,0
esm2_t36_3B_UR50D_idx473,0,1,0
esm2_t36_3B_UR50D_idx474,0,1,0
esm2_t36_3B_UR50D_idx475,0,1,0
esm2_t36_3B_UR50D_idx476,0,1,0
esm2_t36_3B_UR50D_idx477,0,1,0
esm2_t36_3B_UR50D_idx478,0,1,0
esm2_t36_3B_UR50D_idx479,0,1,0
esm2_t36_3B_UR50D_idx480,0,1,0
esm2_t36_3B_UR50D_idx481,0,1,0
esm2_t36_3B_UR50D_idx482,0,1,0
esm2_t36_3B_UR50D_idx483,0,1,0
esm2_t36_3B_UR50D_idx484,0,1,0
esm2_t36_3B_UR50D_idx485,0,1,0
esm2_t36_3B_UR50D_idx486,0,1,0
esm2_t36_3B_UR50D_idx487,0,1,0
esm2_t36_3B_UR50D_idx488,0,1,0
esm2_t36_3B_UR50D_idx489,0,1,0
esm2_t36_3B_UR50D_idx490,0,1,0
esm2_t36_3B_UR50D_idx491,0,1,0
esm2_t36_3B_UR50D_idx492,0,1,0
esm2_t36_3B_UR50D_idx493,0,1,0
esm2_t36_3B_UR50D_idx494,0,1,0
esm2_t36_3B_UR50D_idx495,0,1,0
esm2_t36_3B_UR50D_idx496,0,1,0
esm2_t36_3B_UR50D_idx497,0,1,0
esm2_t36_3B_UR50D_idx498,0,1,0
esm2_t36_3B_UR50D_idx499,0,1,0
esm2_t36_3B_UR50D_idx500,0,1,0
esm2_t36_3B_UR50D_idx501,0,1,0
esm2_t36_3B_UR50D_idx502,0,1,0
esm2_t36_3B_UR50D_idx503,0,1,0
esm2_t36_3B_UR50D_idx504,0,1,0
esm2_t36_3B_UR50D_idx505,0,1,0
esm2_t36_3B_UR50D_idx506,0,1,0
esm2_t36_3B_UR50D_idx507,0,1,0
esm2_t36_3B_UR50D_idx508,0,1,0
esm2_t36_3B_UR50D_idx509,0,1,0
esm2_t36_3B_UR50D_idx510,0,1,0
esm2_t36_3B_UR50D_idx511,0,1,0
esm2_t36_3B_UR50D_idx512,0,1,0
esm2_t36_3B_UR50D_idx513,0,1,0
esm2_t36_3B_UR50D_idx514,0,1,0
esm2_t36_3B_UR50D_idx515,0,1,0
esm2_t36_3B_UR50D_idx516,0,1,0
esm2_t36_3B_UR50D_idx517,0,1,0
esm2_t36_3B_UR50D_idx518,0,1,0
esm2_t36_3B_UR50D_idx519,0,1,0
esm2_t36_3B_UR50D_idx520,0,1,0
esm2_t36_3B_UR50D_idx521,0,1,0
esm2_t36_3B_UR50D_idx522,0,1,0
esm2_t36_3B_UR50D_idx523,0,1,0
esm2_t36_3B_UR50D_idx524,0,1,0
esm2_t36_3B_UR50D_idx525,0,1,0
esm2_t36_3B_UR50D_idx526,0,1,0
esm2_t36_3B_UR50D_idx527,0,1,0
esm2_t36_3B_UR50D_idx528,0,1,0
esm2_t36_3B_UR50D_idx529,0,1,0
esm2_t36_3B_UR50D_idx530,0,1,0
esm2_t36_3B_UR50D_idx531,0,1,0
esm2_t36_3B_UR50D_idx532,0,1,0
esm2_t36_3B_UR50D_idx533,0,1,0
esm2_t36_3B_UR50D_idx534,0,1,0
esm2_t36_3B_UR50D_idx535,0,1,0
esm2_t36_3B_UR50D_idx536,0,1,0
esm2_t36_3B_UR50D_idx537,0,1,0
esm2_t36_3B_UR50D_idx538,0,1,0
esm2_t36_3B_UR50D_idx539,0,1,0
esm2_t36_3B_UR50D_idx540,0,1,0
esm2_t36_3B_UR50D_idx541,0,1,0
esm2_t36_3B_UR50D_idx542,0,1,0
esm2_t36_3B_UR50D_idx543,0,1,0
esm2_t36_3B_UR50D_idx544,0,1,0
esm2_t36_3B_UR50D_idx545,0,1,0
esm2_t36_3B_UR50D_idx546,0,1,0
esm2_t36_3B_UR50D_idx547,0,1,0
