,IDs,esm2_t33_650M_UR50D,esm2_t36_3B_UR50D,esm2_t48_15B_UR50D,Subtypes
294,esm2_t36_3B_UR50D_idx294,0,1,0,esm2_t36_3B_UR50D
295,esm2_t36_3B_UR50D_idx295,0,1,0,esm2_t36_3B_UR50D
296,esm2_t36_3B_UR50D_idx296,0,1,0,esm2_t36_3B_UR50D
297,esm2_t36_3B_UR50D_idx297,0,1,0,esm2_t36_3B_UR50D
298,esm2_t36_3B_UR50D_idx298,0,1,0,esm2_t36_3B_UR50D
299,esm2_t36_3B_UR50D_idx299,0,1,0,esm2_t36_3B_UR50D
300,esm2_t36_3B_UR50D_idx300,0,1,0,esm2_t36_3B_UR50D
301,esm2_t36_3B_UR50D_idx301,0,1,0,esm2_t36_3B_UR50D
302,esm2_t36_3B_UR50D_idx302,0,1,0,esm2_t36_3B_UR50D
303,esm2_t36_3B_UR50D_idx303,0,1,0,esm2_t36_3B_UR50D
304,esm2_t36_3B_UR50D_idx304,0,1,0,esm2_t36_3B_UR50D
305,esm2_t36_3B_UR50D_idx305,0,1,0,esm2_t36_3B_UR50D
306,esm2_t36_3B_UR50D_idx306,0,1,0,esm2_t36_3B_UR50D
307,esm2_t36_3B_UR50D_idx307,0,1,0,esm2_t36_3B_UR50D
308,esm2_t36_3B_UR50D_idx308,0,1,0,esm2_t36_3B_UR50D
309,esm2_t36_3B_UR50D_idx309,0,1,0,esm2_t36_3B_UR50D
310,esm2_t36_3B_UR50D_idx310,0,1,0,esm2_t36_3B_UR50D
311,esm2_t36_3B_UR50D_idx311,0,1,0,esm2_t36_3B_UR50D
312,esm2_t36_3B_UR50D_idx312,0,1,0,esm2_t36_3B_UR50D
313,esm2_t36_3B_UR50D_idx313,0,1,0,esm2_t36_3B_UR50D
314,esm2_t36_3B_UR50D_idx314,0,1,0,esm2_t36_3B_UR50D
315,esm2_t36_3B_UR50D_idx315,0,1,0,esm2_t36_3B_UR50D
316,esm2_t36_3B_UR50D_idx316,0,1,0,esm2_t36_3B_UR50D
317,esm2_t36_3B_UR50D_idx317,0,1,0,esm2_t36_3B_UR50D
318,esm2_t36_3B_UR50D_idx318,0,1,0,esm2_t36_3B_UR50D
319,esm2_t36_3B_UR50D_idx319,0,1,0,esm2_t36_3B_UR50D
320,esm2_t36_3B_UR50D_idx320,0,1,0,esm2_t36_3B_UR50D
321,esm2_t36_3B_UR50D_idx321,0,1,0,esm2_t36_3B_UR50D
322,esm2_t36_3B_UR50D_idx322,0,1,0,esm2_t36_3B_UR50D
323,esm2_t36_3B_UR50D_idx323,0,1,0,esm2_t36_3B_UR50D
324,esm2_t36_3B_UR50D_idx324,0,1,0,esm2_t36_3B_UR50D
